OPEN,HIGH,LOW,CLOSE,Volume,Dividends,Stock Splits,CODES,DATES,POSITIONS,COST,ASSETS,PERCENTAGE
53.56,53.71,53.24,53.38,48149400,0.0,0,QQQ,2011-05-02,244.0,12641.26,13068.640000000001,1.0338083387257284
53.35,53.4,52.8,53.12,38100000,0.0,0,QQQ,2011-05-03,244.0,12641.26,13017.4,1.0297549453139956
53.15,53.29,52.6,53.04,53097200,0.0,0,QQQ,2011-05-04,244.0,12641.26,12968.6,1.0258945706361549
52.78,53.38,52.57,52.75,72200000,0.0,0,QQQ,2011-05-05,244.0,12641.26,12878.32,1.0187528774821497
53.28,53.58,52.78,52.92,72507000,0.0,0,QQQ,2011-05-06,244.0,12641.26,13000.32,1.0284038141767513
53.01,53.33,52.81,53.12,40022000,0.0,0,QQQ,2011-05-09,262.0,13595.44,13888.619999999999,1.0215645834191462
53.28,53.66,53.2,53.57,38053600,0.0,0,QQQ,2011-05-10,262.0,13595.44,13959.36,1.0267677986148296
53.49,53.68,52.82,53.19,61900000,0.0,0,QQQ,2011-05-11,262.0,13595.44,14014.380000000001,1.0308147437670279
53.02,53.57,52.71,53.5,66100000,0.0,0,QQQ,2011-05-12,262.0,13595.44,13891.240000000002,1.0217572950930607
53.38,53.47,52.85,52.87,63506600,0.0,0,QQQ,2011-05-13,262.0,13595.44,13985.560000000001,1.0286949153539717
52.62,52.79,51.84,51.95,73115300,0.0,0,QQQ,2011-05-16,281.0,14595.220000000001,14786.22,1.013086476257295
51.68,52.11,51.57,52.1,63136000,0.0,0,QQQ,2011-05-17,281.0,14595.220000000001,14522.08,0.9949887702960284
52.03,52.62,51.96,52.53,42351100,0.0,0,QQQ,2011-05-18,281.0,14595.220000000001,14620.43,1.0017272778347979
52.7,52.81,52.36,52.69,35015800,0.0,0,QQQ,2011-05-19,281.0,14595.220000000001,14808.7,1.014626706551871
52.63,52.69,52.22,52.29,44703300,0.0,0,QQQ,2011-05-20,281.0,14595.220000000001,14789.03,1.0132790050441172
51.57,51.73,51.28,51.52,43700000,0.0,0,QQQ,2011-05-23,300.0,15575.050000000001,15471.0,0.9933194435972917
51.65,51.66,51.19,51.2,39314800,0.0,0,QQQ,2011-05-24,300.0,15575.050000000001,15495.0,0.994860369629632
51.14,51.65,51.11,51.4,41369000,0.0,0,QQQ,2011-05-25,300.0,15575.050000000001,15342.0,0.9850369661734633
51.25,51.86,51.24,51.72,40564100,0.0,0,QQQ,2011-05-26,300.0,15575.050000000001,15375.0,0.987155739467931
51.81,52.04,51.76,51.98,30127200,0.0,0,QQQ,2011-05-27,300.0,15575.050000000001,15543.0,0.9979422216943123
52.47,52.82,52.2,52.82,47590100,0.0,0,QQQ,2011-05-31,300.0,15575.050000000001,15741.0,1.0106548614611188
52.7,52.82,51.63,51.67,51795000,0.0,0,QQQ,2011-06-01,300.0,15575.050000000001,15810.0,1.015085023804097
51.77,51.96,51.49,51.78,50198100,0.0,0,QQQ,2011-06-02,300.0,15575.050000000001,15531.000000000002,0.9971717586781423
51.19,51.58,50.93,51.0,57773700,0.0,0,QQQ,2011-06-03,300.0,15575.050000000001,15357.0,0.9860000449436759
50.89,51.17,50.56,50.59,50175600,0.0,0,QQQ,2011-06-06,319.0,16541.960000000003,16233.91,0.9813776602047156
50.72,50.92,50.46,50.5,46311100,0.0,0,QQQ,2011-06-07,319.0,16541.960000000003,16179.68,0.9780993304300094
50.39,50.48,49.99,50.14,46426400,0.0,0,QQQ,2011-06-08,319.0,16541.960000000003,16074.41,0.9717355138085207
50.15,50.47,49.99,50.23,45307500,0.0,0,QQQ,2011-06-09,319.0,16541.960000000003,15997.85,0.9671072835383472
49.99,50.09,49.41,49.46,53740600,0.0,0,QQQ,2011-06-10,319.0,16541.960000000003,15946.810000000001,0.9640217966915648
49.48,49.72,49.28,49.46,37736800,0.0,0,QQQ,2011-06-13,339.0,17531.56,16773.719999999998,0.9567728142846385
49.84,50.21,49.81,50.09,40565300,0.0,0,QQQ,2011-06-14,339.0,17531.56,16895.760000000002,0.963733974614923
49.61,49.92,49.04,49.14,59022400,0.0,0,QQQ,2011-06-15,339.0,17531.56,16817.79,0.9592865666261302
49.17,49.33,48.53,48.95,66316200,0.0,0,QQQ,2011-06-16,339.0,17531.56,16668.63,0.950778481778005
49.35,49.53,48.65,48.8,70337000,0.12,0,QQQ,2011-06-17,339.0,17531.56,16729.65,0.9542590619431471
48.66,49.2,48.66,49.05,37402900,0.0,0,QQQ,2011-06-20,359.0,18504.760000000002,17468.94,0.9440241321692363
49.22,50.16,49.01,50.1,55892800,0.0,0,QQQ,2011-06-21,359.0,18504.760000000002,17669.98,0.9548883638588124
49.89,50.18,49.73,49.74,36833300,0.0,0,QQQ,2011-06-22,359.0,18504.760000000002,17910.51,0.9678866410588409
49.2,50.23,49.04,50.2,80743300,0.0,0,QQQ,2011-06-23,359.0,18504.760000000002,17662.8,0.9545003555841847
49.97,50.01,49.23,49.33,56298300,0.0,0,QQQ,2011-06-24,359.0,18504.760000000002,17939.23,0.9694386741573519
49.39,50.37,49.28,50.12,49968900,0.0,0,QQQ,2011-06-27,379.0,19492.56,18718.81,0.9603053677916087
50.23,50.87,50.16,50.86,47028800,0.0,0,QQQ,2011-06-28,379.0,19492.56,19037.17,0.9766377530709152
50.98,51.17,50.71,51.07,65407300,0.0,0,QQQ,2011-06-29,379.0,19492.56,19321.42,0.9912202399274388
51.25,51.79,51.23,51.75,50347200,0.0,0,QQQ,2011-06-30,379.0,19492.56,19423.75,0.9964699351957874
51.78,52.61,51.64,52.53,53203900,0.0,0,QQQ,2011-07-01,379.0,19492.56,19624.62,1.0067748925743976
52.59,52.85,52.46,52.8,43128800,0.0,0,QQQ,2011-07-05,379.0,19492.56,19931.61,1.022523978379443
52.73,53.06,52.56,52.97,49282700,0.0,0,QQQ,2011-07-06,379.0,19492.56,19984.67,1.0252460425926608
53.37,53.85,53.29,53.69,54799800,0.0,0,QQQ,2011-07-07,379.0,19492.56,20227.23,1.037689764710228
53.23,53.56,52.95,53.55,69519500,0.0,0,QQQ,2011-07-08,379.0,19492.56,20174.17,1.03496770049701
52.99,53.26,52.4,52.58,52080800,0.0,0,QQQ,2011-07-11,397.0,20446.38,21037.030000000002,1.0288877542137045
52.57,52.68,52.13,52.18,84000700,0.0,0,QQQ,2011-07-12,397.0,20446.38,20870.29,1.02073276540884
52.56,52.92,52.21,52.4,82378100,0.0,0,QQQ,2011-07-13,397.0,20446.38,20866.32,1.0205385990087241
52.53,52.78,51.59,51.79,98774200,0.0,0,QQQ,2011-07-14,397.0,20446.38,20854.41,1.0199560998083768
52.37,52.48,51.99,52.48,68281500,0.0,0,QQQ,2011-07-15,397.0,20446.38,20790.89,1.0168494374065238
52.19,52.42,51.69,52.2,59512200,0.0,0,QQQ,2011-07-18,416.0,21437.99,21711.04,1.0127367351136929
52.7,53.43,52.7,53.39,73904600,0.0,0,QQQ,2011-07-19,416.0,21437.99,21923.2,1.0226331852939572
53.69,53.69,53.07,53.16,57085500,0.0,0,QQQ,2011-07-20,416.0,21437.99,22335.04,1.0418439415262344
53.21,53.81,52.92,53.51,70148800,0.0,0,QQQ,2011-07-21,416.0,21437.99,22135.36,1.0325296354742213
53.49,54.16,53.45,54.07,43620400,0.0,0,QQQ,2011-07-22,416.0,21437.99,22251.84,1.037962980671229
53.64,54.26,53.54,53.96,48916100,0.0,0,QQQ,2011-07-25,434.0,22403.510000000002,23279.760000000002,1.0391121748333185
53.92,54.28,53.81,54.09,40918900,0.0,0,QQQ,2011-07-26,434.0,22403.510000000002,23401.280000000002,1.0445363248883768
53.74,53.79,52.56,52.7,83969500,0.0,0,QQQ,2011-07-27,434.0,22403.510000000002,23323.16,1.0410493712815536
52.72,53.46,52.52,52.79,61031900,0.0,0,QQQ,2011-07-28,434.0,22403.510000000002,22880.48,1.0212899675095553
52.36,53.17,52.11,52.62,82860500,0.0,0,QQQ,2011-07-29,434.0,22403.510000000002,22724.239999999998,1.0143160602959087
53.25,53.36,51.74,52.37,85421100,0.0,0,QQQ,2011-08-01,452.0,23362.010000000002,24069.0,1.0302623789648235
52.13,52.36,50.99,51.05,90853300,0.0,0,QQQ,2011-08-02,452.0,23362.010000000002,23562.760000000002,1.0085930106185212
51.11,51.6,50.21,51.54,103612300,0.0,0,QQQ,2011-08-03,452.0,23362.010000000002,23101.72,0.9888584073031387
50.8,50.88,49.14,49.14,132830000,0.0,0,QQQ,2011-08-04,452.0,23362.010000000002,22961.6,0.982860635707287
49.64,49.92,47.46,48.83,214111800,0.0,0,QQQ,2011-08-05,452.0,23362.010000000002,22437.28,0.9604173613486167
47.34,48.19,45.89,45.89,204804500,0.0,0,QQQ,2011-08-08,473.0,24356.15,22391.820000000003,0.9193497330243081
46.58,48.15,45.29,48.11,193707100,0.0,0,QQQ,2011-08-09,473.0,24356.15,22032.34,0.9045904217210027
47.02,48.12,46.08,46.14,205917900,0.0,0,QQQ,2011-08-10,473.0,24356.15,22240.460000000003,0.9131352861597585
46.8,48.71,46.57,48.17,143825300,0.0,0,QQQ,2011-08-11,473.0,24356.15,22136.399999999998,0.9088628539403805
48.47,48.9,47.97,48.6,90483300,0.0,0,QQQ,2011-08-12,473.0,24356.15,22926.309999999998,0.9412944985147487
48.8,49.31,48.56,49.31,73554300,0.0,0,QQQ,2011-08-15,493.0,25332.15,24058.399999999998,0.9497180460403083
48.83,49.3,48.24,48.9,89219200,0.0,0,QQQ,2011-08-16,493.0,25332.15,24073.19,0.9503018891013987
48.96,49.37,48.1,48.61,84416600,0.0,0,QQQ,2011-08-17,493.0,25332.15,24137.28,0.9528318756994569
47.29,47.3,45.79,46.22,130019400,0.0,0,QQQ,2011-08-18,493.0,25332.15,23313.97,0.920331278632094
45.74,46.87,45.35,45.39,96674600,0.0,0,QQQ,2011-08-19,493.0,25332.15,22549.82,0.8901660538090923
46.47,46.48,45.41,45.55,77107700,0.0,0,QQQ,2011-08-22,514.0,26308.02,23885.579999999998,0.9079200943286495
45.86,47.43,45.67,47.43,75688400,0.0,0,QQQ,2011-08-23,514.0,26308.02,23572.04,0.8960020556469092
47.29,47.89,46.91,47.8,80197700,0.0,0,QQQ,2011-08-24,514.0,26308.02,24307.06,0.9239410643598416
47.77,47.99,46.85,47.02,93623700,0.0,0,QQQ,2011-08-25,514.0,26308.02,24553.780000000002,0.9333191931585882
46.86,48.36,46.4,48.2,91573300,0.0,0,QQQ,2011-08-26,514.0,26308.02,24086.04,0.9155398239776312
48.68,49.59,48.66,49.54,45985800,0.0,0,QQQ,2011-08-29,534.0,27281.62,25995.12,0.9528437094278126
49.36,50.17,49.09,49.87,61617900,0.0,0,QQQ,2011-08-30,534.0,27281.62,26358.239999999998,0.9661537694609044
50.17,50.57,49.53,49.95,60900400,0.0,0,QQQ,2011-08-31,534.0,27281.62,26790.780000000002,0.9820083997944404
50.08,50.47,49.4,49.49,57158400,0.0,0,QQQ,2011-09-01,534.0,27281.62,26742.719999999998,0.9802467742018252
48.61,49.54,48.07,48.33,58185700,0.0,0,QQQ,2011-09-02,534.0,27281.62,25957.739999999998,0.9514735561891119
